,name,main_speaker,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jawdrop,Ok,Obnoxious,Inspiring,Total
35,Sasa Vucinic: Why we should invest in a free press,Sasa Vucinic,31,42,101,71,27,25,53,51,11,4,3,4,1,11,435
36,Ashraf Ghani: How to rebuild a broken state,Ashraf Ghani,139,25,48,31,35,21,218,113,44,51,35,112,9,11,892
37,Burt Rutan: The real future of space exploration,Burt Rutan,168,30,63,86,77,23,336,498,247,70,115,63,198,47,2021
38,Ben Saunders: Why did I ski to the North Pole?,Ben Saunders,80,274,44,18,44,288,124,74,20,22,7,7,10,1,1013
39,Bono: My wish: Three actions for Africa,Bono,41,68,12,104,26,30,80,294,51,145,22,39,24,33,969
40,Edward Burtynsky: My wish: Manufactured landscapes and green education,Edward Burtynsky,106,52,58,158,184,11,149,8,20,95,27,64,10,10,952
41,Robert Fischell: My wish: Three unusual medical inventions,Robert Fischell,126,115,6,18,4,48,74,11,23,8,27,18,20,1,499
42,Peter Donnelly: How juries are fooled by statistics,Peter Donnelly,103,67,13,98,106,844,87,357,364,73,75,15,11,2,2215
43,Michael Shermer: Why people believe weird things,Michael Shermer,2751,151,509,136,51,1344,373,799,109,37,1958,133,237,157,8745
44,Ray Kurzweil: The accelerating power of technology,Ray Kurzweil,61,207,111,91,55,150,806,388,18,691,309,237,141,27,3292
45,Kevin Kelly: How technology evolves,Kevin Kelly,192,269,52,11,87,147,136,279,311,34,1084,111,49,24,2786
46,Peter Gabriel: Fight injustice with raw video,Peter Gabriel,180,36,5,23,145,222,25,14,27,92,33,8,36,3,849
47,Richard St. John: 8 secrets of success,Richard St. John,2966,576,213,1912,4978,43,777,638,457,27,1433,251,685,57,15013
48,Rives: If I controlled the Internet,Rives,949,377,44,408,41,21,195,56,186,45,135,73,94,25,2649
49,Dean Ornish: The killer American diet that's sweeping the planet,Dean Ornish,749,54,8,28,61,151,31,85,31,331,133,14,62,8,1746
50,Robert Neuwirth: The hidden world of shadow cities,Robert Neuwirth,265,70,36,45,105,130,97,18,21,73,32,47,62,3,1004
51,Bjorn Lomborg: Global priorities bigger than climate change,Bjorn Lomborg,283,139,16,79,63,537,16,549,280,169,1668,111,67,212,4189
52,Wade Davis: Dreams from endangered cultures,Wade Davis,563,698,68,24,136,55,54,970,928,192,380,426,75,46,4615
53,Phil Borges: Photos of endangered cultures,Phil Borges,126,116,25,61,30,157,88,16,33,17,24,7,14,5,719
54,Martin Rees: Is this our final century?,Martin Rees,214,60,47,63,132,109,607,460,737,27,175,188,21,117,2957
55,Robert Wright: Progress is not a zero-sum game,Robert Wright,342,102,121,140,107,55,30,251,343,167,288,129,23,40,2138
56,"Steven Johnson: How the ""ghost map"" helped end a killer disease",Steven Johnson,94,384,201,26,13,66,9,72,20,11,10,5,2,5,918
57,Charles Leadbeater: The era of open innovation,Charles Leadbeater,116,29,32,355,408,200,37,16,249,67,36,11,10,3,1569
58,"Pilobolus: A dance of ""Symbiosis""",Pilobolus,1810,142,420,18,53,22,58,525,846,21,2011,34,81,22,6063
59,Anna Deavere Smith: Four American characters,Anna Deavere Smith,179,186,151,67,31,149,208,224,7,14,146,39,36,37,1474
60,Saul Griffith: Everyday inventions,Saul Griffith,89,94,48,31,98,84,22,4,12,53,23,4,6,3,571
61,Neil Gershenfeld: Unleash your creativity in a Fab Lab,Neil Gershenfeld,156,11,55,26,111,188,172,9,21,12,105,42,9,10,927
62,Carl Honoré: In praise of slowness,Carl Honoré,199,313,159,411,1260,242,93,73,35,575,53,21,30,141,3605
63,Bill Clinton: My wish: Rebuilding Rwanda,Bill Clinton,37,102,23,45,45,208,368,86,160,47,32,11,7,11,1182
64,E.O. Wilson: My wish: Build the Encyclopedia of Life,E.O. Wilson,60,168,74,44,20,71,17,353,403,229,79,46,178,5,1747
65,James Nachtwey: My wish: Let my photographs bear witness,James Nachtwey,637,126,25,27,234,574,198,15,24,296,171,24,13,3,2367
66,Jane Goodall: What separates us from chimpanzees?,Jane Goodall,441,36,289,70,30,28,387,944,432,35,285,107,27,63,3174
67,Seth Godin: How to get your ideas to spread,Seth Godin,785,95,444,91,59,23,997,1040,571,46,811,158,100,34,5254
68,James Watson: How we discovered DNA,James Watson,101,306,106,54,39,230,360,184,298,34,66,54,47,29,1908
69,Al Seckel: Visual illusions that show how we (mis)think,Al Seckel,80,123,109,319,221,173,367,102,62,284,35,93,32,2,2002
70,Dean Kamen: To invent is to give,Dean Kamen,121,15,49,20,19,89,116,68,34,14,34,63,17,17,676
71,Juan Enriquez: The life code that will reshape the future,Juan Enriquez,27,35,89,23,19,319,176,310,19,7,133,21,181,15,1374
72,Stefan Sagmeister: Happiness by design,Stefan Sagmeister,31,468,159,180,68,100,542,138,52,70,123,14,23,33,2001
73,Alex Steffen: The route to a sustainable future,Alex Steffen,100,97,78,313,518,30,158,31,12,59,72,174,14,15,1671
74,Thom Mayne: How architecture can connect us,Thom Mayne,69,24,42,60,61,91,59,53,11,44,15,18,7,2,556
75,Chris Bangle: Great cars are great art,Chris Bangle,88,97,32,81,100,36,23,87,162,76,45,64,28,9,928
76,"Nora York: Singing ""What I Want""",Nora York,123,22,20,17,71,2,22,38,5,31,11,7,13,3,385
77,Paul Bennett: Design is in the details,Paul Bennett,130,33,12,31,11,199,276,14,98,54,9,56,19,1,943
78,"Vik Muniz: Art with wire, sugar, chocolate and string",Vik Muniz,448,507,364,27,21,46,362,402,16,10,162,20,44,9,2438
79,Nick Bostrom: A philosophical quest for our biggest problems,Nick Bostrom,78,66,173,273,88,151,108,119,15,20,108,47,66,19,1331
80,Janine Benyus: Biomimicry's surprising lessons from nature's engineers,Janine Benyus,74,241,33,387,448,874,704,18,11,338,234,38,27,14,3441
81,Craig Venter: Sampling the ocean's DNA,Craig Venter,21,54,23,12,199,73,163,8,74,23,10,3,3,0,666
82,Golan Levin: Software (as) art,Golan Levin,95,89,56,80,53,13,21,43,65,7,89,57,16,0,684
83,Susan Savage-Rumbaugh: The gentle genius of bonobos,Susan Savage-Rumbaugh,544,272,70,119,56,604,556,1342,1936,61,15,106,37,23,5741
84,Frans Lanting: The story of life in photographs,Frans Lanting,1262,141,75,71,108,262,611,600,25,18,882,145,62,88,4350
85,Sheila Patek: The shrimp with a kick!,Sheila Patek,108,111,159,5,496,85,724,16,234,67,16,8,21,3,2053
86,"Jill Sobule: Global warming's theme song, ""Manhattan in January""",Jill Sobule,45,259,84,11,16,25,70,16,5,28,16,10,8,6,599
87,Caroline Lavelle: Casting a spell on the cello,Caroline Lavelle,215,21,20,45,5,32,17,9,58,7,5,1,2,0,437
88,Dan Dennett: The illusion of consciousness,Dan Dennett,219,197,101,189,67,680,204,264,27,182,289,89,45,653,3206
89,Evelyn Glennie: How to truly listen,Evelyn Glennie,122,1535,397,312,33,107,483,2061,49,1291,1587,218,114,29,8338
90,William McDonough: Cradle to cradle design,William McDonough,75,415,138,34,149,49,257,695,286,27,907,207,39,25,3303
91,Jeff Bezos: The electricity metaphor for the web's future,Jeff Bezos,83,14,130,66,41,24,18,267,166,93,68,66,16,16,1068
92,Rives: A mockingbird remix of TED2006,Rives,189,169,225,124,7,117,5,8,133,11,11,17,8,4,1028
93,"Eddi Reader: ""Kiteflyer's Hill""",Eddi Reader,13,396,17,61,9,5,24,35,47,3,7,2,2,0,621
94,"Eddi Reader: ""What You've Got""",Eddi Reader,272,6,12,20,13,169,12,31,24,48,23,15,1,3,649
95,Tom Honey: Why would God create a tsunami?,Tom Honey,435,104,87,223,316,75,319,112,11,36,66,66,98,27,1975
96,Richard Dawkins: Militant atheism,Richard Dawkins,3236,539,399,86,1203,663,192,1113,2935,934,2475,551,406,172,14904
97,Tom Rielly: A comic sendup of TED2006,Tom Rielly,600,94,38,56,54,37,17,11,18,19,116,39,71,1,1171
98,"Rachelle Garniez: ""La Vie en Rose""",Rachelle Garniez,58,224,8,27,9,26,40,43,55,14,12,1,4,0,521
99,Chris Anderson: Technology's long tail,Chris Anderson,33,8,39,334,55,100,11,19,8,17,51,85,12,15,787
100,Natalie MacMaster: Cape Breton fiddling in reel time,Natalie MacMaster,364,29,22,102,23,67,54,80,10,23,6,12,12,1,805
101,Sergey Brin + Larry Page: The genesis of Google,Sergey Brin + Larry Page,143,54,50,94,51,77,302,176,97,19,163,17,39,22,1304
102,"Stew: ""Black Men Ski""",Stew,275,88,61,26,57,38,33,52,36,32,101,23,29,16,867
103,James Howard Kunstler: The ghastly tragedy of the suburbs,James Howard Kunstler,1006,446,52,191,106,113,29,686,801,342,1678,193,124,87,5854
104,David Kelley: Human-centered design,David Kelley,50,73,43,25,7,113,144,29,84,50,10,11,7,13,659
105,Stewart Brand: What squatter cities can teach us,Stewart Brand,159,30,261,24,10,189,53,58,25,15,115,49,44,10,1042
106,Jeff Hawkins: How brain science will change computing,Jeff Hawkins,73,375,256,39,44,37,553,635,750,22,268,151,28,43,3274
107,Tierney Thys: Swim with the giant sunfish,Tierney Thys,330,156,22,15,383,144,347,5,22,50,28,31,14,3,1550
108,Blaise Agüera y Arcas: How PhotoSynth can connect the world's images,Blaise Agüera y Arcas,632,1736,76,70,60,41,40,647,857,1623,14728,95,119,21,20745
109,John Doerr: Salvation (and profit) in greentech,John Doerr,174,72,33,4,42,19,19,234,378,57,207,49,39,27,1354
110,Ngozi Okonjo-Iweala: Want to help Africa? Do business here,Ngozi Okonjo-Iweala,132,136,43,21,20,347,363,78,176,39,42,2,2,3,1404
111,Anand Agarawala: Rethink the desktop with BumpTop,Anand Agarawala,161,470,342,10,77,13,45,177,125,301,167,94,48,8,2038
112,Robert Thurman: We can be Buddhas,Robert Thurman,330,424,57,47,73,50,71,185,947,209,171,90,39,26,2719
113,David Rockwell: A memorial at Ground Zero,David Rockwell,60,64,12,29,37,12,3,11,11,26,19,4,9,0,297
114,Thomas Barnett: Let's rethink America's military strategy,Thomas Barnett,88,384,293,194,16,44,149,479,319,31,535,160,87,17,2796
115,"Ethel: A string quartet plays ""Blue Room""",Ethel,216,6,3,24,10,14,54,48,19,10,57,8,8,0,477
116,Stephen Lawler: Tour Microsoft's Virtual Earth,Stephen Lawler,34,13,9,44,16,17,16,61,54,81,4,43,14,3,409
117,Hans Rosling: New insights on poverty,Hans Rosling,218,730,1021,284,36,27,1544,1569,1265,29,5137,828,21,74,12783
118,Bill Stone: I'm going to the moon. Who's with me?,Bill Stone,720,62,64,237,172,32,32,21,683,437,1507,205,48,54,4274
119,Dan Dennett: Dangerous memes,Dan Dennett,93,327,181,67,167,107,854,488,146,1707,222,143,62,763,5327
120,Alan Russell: The potential of regenerative medicine,Alan Russell,303,15,83,30,26,469,400,553,23,13,235,463,47,16,2676
121,Jonathan Harris: The Web's secret stories,Jonathan Harris,558,125,360,50,54,232,416,642,95,31,1157,135,48,28,3931
122,Emily Oster: Flip your thinking on AIDS in Africa,Emily Oster,94,34,15,50,7,86,38,40,386,103,83,144,40,18,1138
123,"Will Wright: Spore, birth of a game",Will Wright,628,238,70,91,21,218,459,596,37,51,1285,90,95,18,3897
124,Rives: The  4 a.m. mystery,Rives,891,2460,43,169,151,82,431,92,78,81,103,76,238,65,4960
125,David Bolinsky: Visualizing the wonder of a living cell,David Bolinsky,1054,449,149,252,65,23,52,397,912,28,1772,14,111,31,5309
126,Allison Hunt: How to get (a new) hip,Allison Hunt,52,96,440,38,105,42,44,10,27,14,74,8,52,11,1013
127,George Ayittey: Africa's cheetahs versus hippos,George Ayittey,249,254,15,15,29,286,80,30,17,35,165,29,53,10,1267
128,Ngozi Okonjo-Iweala: Aid versus trade,Ngozi Okonjo-Iweala,102,26,193,14,141,32,32,28,39,1249,38,22,16,11,1943
129,William Kamkwamba: How I built a windmill,William Kamkwamba,236,310,348,36,70,1047,216,12,14,13,51,136,23,14,2526
130,Euvin Naidoo: Why invest in Africa,Euvin Naidoo,119,98,31,33,8,16,11,16,34,3,5,6,1,1,382
131,Patrick Awuah: How to educate leaders? Liberal arts,Patrick Awuah,320,171,810,146,115,29,45,54,3,183,65,50,5,1,1997
132,Chris Abani: Telling stories from Africa,Chris Abani,221,220,133,140,83,24,102,13,39,28,42,13,16,14,1088
133,Jacqueline Novogratz: Patient capitalism,Jacqueline Novogratz,412,89,126,167,18,47,7,87,19,140,32,44,6,7,1201
134,"Vusi Mahlasela: ""Thula Mama""",Vusi Mahlasela,72,359,207,42,15,13,10,5,17,5,18,32,12,3,810
135,"Vusi Mahlasela: ""Woza""",Vusi Mahlasela,4,54,210,4,5,71,17,24,7,35,13,10,2,0,456
136,Jeff Skoll: My journey into movies that matter,Jeff Skoll,91,412,75,137,37,31,42,52,40,83,64,19,25,7,1115
137,"Dean Kamen: Luke, a new prosthetic arm for soldiers",Dean Kamen,942,1075,310,688,28,265,25,348,24,26,2080,87,65,25,5988
138,Erin McKean: The joy of lexicography,Erin McKean,45,343,518,195,965,243,557,31,83,51,104,206,41,40,3422
139,Andrew Mwenda: Aid for Africa? No thanks.,Andrew Mwenda,240,251,403,52,64,25,115,15,9,1020,67,38,8,7,2314
140,"Theo Jansen: My creations, a new form of life",Theo Jansen,1514,1289,656,67,631,109,74,214,77,37,2186,100,30,21,7005
141,Steven Pinker: What our language habits reveal,Steven Pinker,206,956,91,175,476,100,148,352,46,13,193,150,29,24,2959
142,Steven Pinker: The surprising decline in violence,Steven Pinker,1314,242,491,731,176,147,116,48,39,42,1739,161,94,109,5449
143,Deborah Scranton: An Iraq war movie crowd-sourced from soldiers,Deborah Scranton,72,338,145,25,33,65,198,18,60,30,69,51,23,3,1130
144,Zeresenay Alemseged: The search for humanity's roots,Zeresenay Alemseged,349,436,56,25,55,167,31,24,33,21,23,64,46,1,1331
145,John Maeda: Designing for simplicity,John Maeda,643,183,269,403,184,27,185,145,190,168,50,155,45,22,2669
146,Stephen Petranek: 10 ways the world could end,Stephen Petranek,244,460,61,356,121,20,70,152,14,79,97,19,69,158,1920
147,Paul MacCready: A flight on solar wings,Paul MacCready,140,111,111,148,70,165,18,31,12,13,13,31,34,3,900
148,Carolyn Porco: This is Saturn,Carolyn Porco,1768,1166,1224,73,880,61,47,65,15,4971,78,108,25,24,10505
149,Kenichi Ebina: My magic moves,Kenichi Ebina,307,414,200,562,229,125,41,73,67,9,1153,533,110,13,3836
150,"Richard Branson: Life at 30,000 feet",Richard Branson,367,150,700,252,230,57,55,33,7,46,72,44,55,12,2080
151,"Hod Lipson: Building ""self-aware"" robots",Hod Lipson,278,173,448,33,64,297,42,27,25,31,106,60,20,11,1615
152,Maira Kalman: The illustrated woman,Maira Kalman,160,138,67,263,121,144,28,25,118,49,15,7,28,67,1230
153,Jan Chipchase: The anthropology of mobile phones,Jan Chipchase,454,111,249,128,211,190,166,26,16,19,154,21,49,29,1823
154,VS Ramachandran: 3 clues to understanding your brain,VS Ramachandran,3847,2402,673,1458,215,969,25,77,31,52,1775,423,15,107,12069
155,Eleni Gabre-Madhin: A commodities exchange for Ethiopia,Eleni Gabre-Madhin,222,177,78,27,38,137,29,47,8,31,31,73,3,1,902
156,Sherwin Nuland: How electroshock therapy changed me,Sherwin Nuland,1417,1286,466,453,37,308,95,54,39,16,121,44,128,28,4492
157,Matthieu Ricard: The habits of happiness,Matthieu Ricard,245,3774,400,1621,88,1170,863,106,194,109,618,139,268,28,9623
158,Lawrence Lessig: Laws that choke creativity,Lawrence Lessig,423,1074,344,589,1014,254,35,91,76,76,2163,41,89,157,6426
159,Paul Rothemund: Playing with DNA that self-assembles,Paul Rothemund,140,195,261,65,12,34,64,9,23,15,98,40,9,9,974
160,David Keith: A critical look at geoengineering against climate change,David Keith,680,262,166,300,184,129,57,30,43,14,1352,61,77,43,3398
161,Juan Enriquez: Using biology to rethink the energy challenge,Juan Enriquez,551,282,71,81,246,186,79,115,30,11,1008,63,69,37,2829
162,Larry Brilliant: The case for optimism,Larry Brilliant,207,57,171,104,56,19,94,14,28,48,28,44,9,2,881
163,Robert Full: The sticky wonder of gecko feet,Robert Full,310,513,262,228,78,51,4,13,7,9,116,26,21,14,1652
164,Ron Eglash: The fractals at the heart of African designs,Ron Eglash,1137,412,657,38,19,365,317,73,45,39,954,102,51,15,4224
165,Philippe Starck: Design and destiny,Philippe Starck,276,192,855,334,711,201,175,216,165,103,129,68,88,67,3580
166,"Murray Gell-Mann: Beauty, truth and ... physics?",Murray Gell-Mann,296,372,483,57,55,509,120,297,53,42,50,115,114,13,2576
167,Amory Lovins: Winning the oil endgame,Amory Lovins,333,221,620,254,67,10,45,63,40,38,375,46,17,123,2252
168,"Arthur Benjamin: A performance of ""Mathemagic""",Arthur Benjamin,3710,1944,340,817,429,2152,168,84,114,182,7196,314,128,151,17729
169,Daniel Goleman: Why aren't we more compassionate?,Daniel Goleman,515,59,233,246,830,111,67,39,38,48,255,140,30,12,2623
170,Lakshmi Pratury: The lost art of letter-writing,Lakshmi Pratury,13,45,288,330,9,82,25,11,13,53,75,12,5,18,979
171,Gever Tulley: 5 dangerous things you should let your kids do,Gever Tulley,1035,960,1210,598,422,371,238,70,61,78,1414,378,82,37,6954
172,Isabel Allende: Tales of passion,Isabel Allende,3528,1302,1696,82,1148,28,292,916,58,447,426,63,899,140,11025
173,Yossi Vardi: We're worried about local warming ... in your lap,Yossi Vardi,1452,114,84,74,16,120,40,34,34,18,143,94,39,44,2306
174,Deborah Gordon: The emergent genius of ant colonies,Deborah Gordon,884,868,120,16,154,65,61,41,19,42,74,114,10,4,2472
175,J.J. Abrams: The mystery box,J.J. Abrams,1512,1454,453,150,907,406,84,177,92,140,185,252,80,84,5976
176,David Gallo: Underwater astonishments,David Gallo,8328,8448,5201,3875,815,1647,236,543,95,322,216,80,126,79,30011
177,Paola Antonelli: Treat design as art,Paola Antonelli,41,138,83,27,68,111,12,43,20,59,82,29,9,7,729
178,"Frank Gehry: A master architect asks, Now what?",Frank Gehry,139,90,68,127,100,8,14,161,30,23,45,36,49,12,902
179,"Raul Midon: ""Tembererana""",Raul Midon,29,134,240,71,62,3,30,26,3,6,0,0,0,0,604
180,"Bill Strickland: Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,153,280,670,11,46,108,158,18,122,63,22,19,42,10,1722
181,Bernie Dunlap: The life-long learner,Bernie Dunlap,633,1716,696,236,212,221,92,160,97,74,167,42,30,14,4390
182,David Pogue: The music wars,David Pogue,604,62,236,166,76,18,46,18,91,24,35,23,24,16,1439
183,Alison Jackson: An unusual glimpse at celebrity,Alison Jackson,59,128,66,27,58,52,59,65,49,21,13,26,15,9,647
184,Chris Anderson: TED's nonprofit transition,Chris Anderson,134,109,267,44,37,105,45,61,23,11,11,18,20,10,895
185,Robin Chase: The idea behind Zipcar (and what comes next),Robin Chase,157,88,162,76,61,123,42,40,57,28,136,114,7,6,1097
186,Jaime Lerner: A song of the city,Jaime Lerner,186,438,85,123,189,167,17,24,53,140,82,9,39,4,1556
187,David Macaulay: An illustrated journey through Rome,David Macaulay,96,124,92,210,109,120,44,102,71,27,46,16,13,11,1081
188,Michael Pollan: A plant's-eye view,Michael Pollan,121,353,635,537,332,570,52,70,67,22,46,133,50,17,3005
189,Howard Rheingold: The new power of collaboration,Howard Rheingold,363,244,93,32,102,46,308,73,33,182,30,30,45,10,1591
190,Pamelia Kurstin: The untouchable music of the theremin,Pamelia Kurstin,129,667,529,58,142,177,267,34,77,22,20,11,9,6,2148
191,George Dyson: The story of Project Orion,George Dyson,79,206,36,196,202,8,21,19,63,5,24,50,7,14,930
192,Moshe Safdie: Building uniqueness,Moshe Safdie,49,75,117,187,177,33,12,10,20,16,73,33,29,0,831
193,Jill Sobule + Julia Sweeney: The Jill and Julia Show,Jill Sobule + Julia Sweeney,34,433,80,49,41,159,31,67,7,12,24,17,14,38,1006
194,Raspyni Brothers: Juggle and jest,Raspyni Brothers,402,1637,59,267,116,15,57,126,72,14,52,56,9,6,2888
195,Joseph Lekuton: A parable for Kenya,Joseph Lekuton,183,108,33,37,43,36,8,10,45,12,1,4,0,0,520
196,Steve Jurvetson: Model rocketry,Steve Jurvetson,67,80,66,191,89,37,18,25,154,70,13,9,2,2,823
197,Roy Gould + Curtis Wong: A preview of the WorldWide Telescope,Roy Gould + Curtis Wong,170,112,330,357,306,209,26,35,71,14,72,23,40,6,1771
198,Alan Kay: A powerful idea about ideas,Alan Kay,238,231,175,130,117,45,30,93,117,17,45,63,30,20,1351
199,Craig Venter: On the verge of creating synthetic life,Craig Venter,680,402,583,239,292,73,71,33,34,33,30,9,14,14,2507
200,"Nicholas Negroponte: 5 predictions, from 1984",Nicholas Negroponte,77,24,19,177,51,86,131,101,26,30,14,4,12,7,759
201,Jill Bolte Taylor: My stroke of insight,Jill Bolte Taylor,14447,16918,10464,9437,7842,966,5430,356,289,1704,1228,550,636,398,70665
202,Frank Gehry: My days as a young rebel,Frank Gehry,76,19,32,31,40,41,16,10,7,9,10,9,35,11,346
203,Dave Eggers: My wish: Once Upon a School,Dave Eggers,452,1398,480,301,223,209,24,215,241,133,28,8,11,8,3731
204,Karen Armstrong: My wish: The Charter for Compassion,Karen Armstrong,528,86,340,240,458,1111,318,123,97,37,91,50,15,26,3520
205,Neil Turok: My wish: Find the next Einstein in Africa,Neil Turok,396,17,106,142,70,92,113,65,3,15,54,7,3,0,1083
206,Norman Foster: My green agenda for architecture,Norman Foster,193,181,122,119,96,37,22,58,30,11,61,16,25,19,990
207,Christopher deCharms: A look inside the brain in real time,Christopher deCharms,85,15,455,679,96,388,251,223,126,49,49,29,30,10,2485
208,Clifford Stoll: The call to learn,Clifford Stoll,126,119,195,645,432,1243,86,177,773,278,362,228,92,65,4821
209,"Rokia Traore: ""M'Bifo""",Rokia Traore,52,105,522,71,113,8,14,20,6,14,3,5,1,0,934
210,Siegfried Woldhek: The search for the true face of Leonardo,Siegfried Woldhek,324,524,197,307,74,282,28,81,7,110,35,65,10,1,2045
211,David Hoffman: Sputnik mania,David Hoffman,77,124,32,10,41,5,10,7,44,6,5,8,8,0,377
212,Jakob Trollback: A new kind of music video,Jakob Trollback,132,170,44,17,59,15,24,53,224,42,111,70,8,1,970
213,Stephen Hawking: Questioning the universe,Stephen Hawking,1070,305,775,716,304,199,254,69,47,48,209,86,41,141,4264
214,Al Gore: New thinking on the climate crisis,Al Gore,1055,1175,534,58,340,1435,137,653,68,87,210,288,120,74,6234
215,Johnny Lee: Free or cheap Wii Remote hacks,Johnny Lee,843,1684,1338,3249,159,2368,132,89,159,80,8,14,9,15,10147
216,Tod Machover + Dan Ellsey: Inventing instruments that unlock new music,Tod Machover + Dan Ellsey,168,240,204,87,38,52,109,142,37,16,20,16,31,1,1161
217,Yochai Benkler: The new open-source economics,Yochai Benkler,285,555,268,258,29,24,93,35,105,69,27,40,3,7,1798
218,Ernest Madu: World-class health care,Ernest Madu,123,177,56,105,112,53,20,14,23,4,10,1,0,0,698
219,Amy Tan: Where does creativity hide?,Amy Tan,416,157,560,752,304,148,444,298,204,273,106,172,43,59,3936
220,Brian Greene: Making sense of string theory,Brian Greene,2050,58,2551,753,440,582,747,349,96,79,116,88,41,27,7977
221,Brian Cox: CERN's supercollider,Brian Cox,169,1276,237,838,1633,34,93,448,21,47,239,449,16,29,5529
